Date,Open,High,Low,Close,Volume
2012-12-17,10.23,10.49,9.85,10.3,4233.02
2012-12-18,10.3,10.4,10.01,10.27,1902.16
2012-12-19,10.27,10.4,10.12,10.32,3124.55
2012-12-20,10.32,10.5,10.23,10.4,4331.27
2012-12-21,10.4,10.48,10.14,10.25,1614.05
2012-12-22,10.25,10.3,10.11,10.29,611.44
2012-12-23,10.29,10.3,10.02,10.15,719.66
2012-12-24,10.15,10.25,9.9,10.2,1210.83
2012-12-25,10.2,10.33,10.01,10.3,4998.68
2012-12-26,10.3,10.3,10.15,10.29,676.38
2012-12-27,10.29,10.3,10.15,10.28,1367.22
2012-12-28,10.28,10.34,10.13,10.15,3635.65
2012-12-29,10.15,10.3,10.1,10.1,2077.37
2012-12-30,10.1,10.3,10.04,10.14,753.06
2012-12-31,10.14,10.3,10.1,10.23,969.68
2013-01-01,10.23,10.29,10.1,10.17,453.18
2013-01-02,10.17,10.26,10.09,10.23,1338.1
2013-01-03,10.23,10.24,10.08,10.2,702.55
2013-01-04,10.2,10.3,10.1,10.2,2820.64
2013-01-05,10.2,10.2,10.11,10.2,1683.74
2013-01-06,10.2,10.29,10.1,10.21,1762.16
2013-01-07,10.21,10.46,10.2,10.34,3613.39
2013-01-08,10.34,10.73,10.33,10.71,3531.61
2013-01-09,10.71,10.75,10.46,10.74,1697.3
2013-01-10,10.74,11.2,10.55,10.8,6247
2013-01-11,10.8,11.07,10.74,11,2584.02
2013-01-12,11,11,10.79,10.79,1908.43
2013-01-13,10.79,10.93,10.75,10.75,1614.5
2013-01-14,10.75,10.9,10.75,10.8,911.05
2013-01-15,10.8,11.05,10.75,10.82,10692.31
2013-01-16,10.82,11.2,10.8,11.17,3381.4
2013-01-17,11.17,11.78,11.17,11.7,5182.34
2013-01-18,11.7,11.95,11.61,11.73,2503.14
2013-01-19,11.73,11.89,11.6,11.71,1226.54
2013-01-20,11.71,11.9,11.51,11.83,1737.24
2013-01-21,11.83,12.78,11.62,12.71,5169.24
2013-01-22,12.71,13.3,12.6,13.12,4331.78
2013-01-23,13.12,13.46,12.83,13.32,3166.25
2013-01-24,13.32,14.59,11.78,12.75,16781.19
2013-01-25,12.75,13.49,11.75,12.99,6383.09
2013-01-26,12.99,13.18,12.59,13.05,1379.27
2013-01-27,13.05,13.2,12.86,13.2,691.08
2013-01-28,13.2,13.95,13.18,13.79,5440.17
2013-01-29,13.79,14.68,13.8,14.56,8502.2
2013-01-30,14.56,14.75,14.34,14.75,3569.47
2013-01-31,14.75,15.7,14.73,15.35,9695.15
2013-02-01,15.35,15.49,14.95,15.1,3455.47
2013-02-02,15.1,15.1,13.5,14.37,5878.06
2013-02-03,14.37,14.98,14.02,14.76,1681.39
2013-02-04,14.76,15.5,14.69,15.02,5476.64
2013-02-05,15.02,15.43,15.02,15.2,2092.52
2013-02-06,15.2,16,15.15,15.84,4134.23
2013-02-07,15.84,16.3,15.67,16.26,5431.72
2013-02-08,16.26,17,16.19,16.85,4923.03
2013-02-09,16.85,17.5,16.78,17.44,2645.57
2013-02-10,17.44,17.8,17,17.47,2590.51
2013-02-11,17.47,18,17.29,18,6838.85
2013-02-12,18,19.28,17.86,18.71,5922.74
2013-02-13,18.71,19.63,18.43,18.43,6207.2
2013-02-14,18.43,20.12,16.14,20.12,8474.2
2013-02-15,20.12,20.47,19.7,20.2,4263.52
2013-02-16,20.2,20.57,20.05,20.44,1189.2
2013-02-17,20.44,20.75,19.2,20.18,5896.59
2013-02-18,20.18,20.5,19.82,20.34,3337.87
2013-02-19,20.34,22.4,20.25,22.26,4954.92
2013-02-20,22.26,22.5,21.8,22.5,3477.09
2013-02-21,22.5,22.8,22.29,22.51,4535.75
2013-02-22,22.51,23.99,22.3,23,6633.45
2013-02-23,23,23.3,20.88,22.68,5332.37
2013-02-24,22.68,23.45,22.19,22.66,3087.96
2013-02-25,22.66,23.5,22.7,23.21,2353.63
2013-02-26,23.21,24,23,24,7420.11
2013-02-27,24,24.2,23.5,23.5,2599.75
2013-02-28,23.5,26.48,23.54,25.64,8547.92
2013-03-01,25.64,27,25.32,26.7,5712.82
2013-03-02,26.7,26.99,26.1,26.97,1850.35
2013-03-03,26.97,27,26.33,26.9,1940.25
2013-03-04,26.9,28.94,26.8,28.23,4692.22
2013-03-05,28.23,31.99,28.23,31.47,7482.82
2013-03-06,31.47,38,31.37,32.31,12838.41
2013-03-07,32.31,35.03,26,31.57,13321.61
2013-03-08,31.57,34.8,31.92,33.59,7525.53
2013-03-09,33.59,35.98,33.3,35.8,4548.74
2013-03-10,35.8,36.9,35.12,35.7,3062.64
2013-03-11,35.7,37.35,35.4,37.15,3316.09
2013-03-12,37.15,37.2,28.4,33.18,15221.09
2013-03-13,33.18,36.8,33.52,36.42,3798.28
2013-03-14,36.42,37.82,36.1,36.52,5587.28
2013-03-15,36.52,36.79,36.1,36.4,1497.23
2013-03-16,36.4,36.5,35.53,36.5,1173.11
2013-03-17,36.5,37.02,36.2,36.65,1611.25
2013-03-18,36.65,39.5,36.39,39.5,3501.32
2013-03-19,39.5,46.99,38.28,46,10211.87
2013-03-20,46,51.41,44.54,49.82,7745.51
2013-03-21,49.82,57.94,48.56,56,7397.94
2013-03-22,56,58.5,50.7,53.97,6093.58
2013-03-23,53.97,55,40.53,49.65,13281.58
2013-03-24,49.65,56,47.92,55.15,3323.49
2013-03-25,55.15,60,53.2,56.75,11462.67
2013-03-26,56.75,62.5,57.32,60.93,3981.32
2013-03-27,60.93,69.5,60.93,69.25,11149.03
2013-03-28,69.25,76.51,60,70.63,15109.05
2013-03-29,70.63,73.8,66.19,70.86,7651.39
2013-03-30,70.86,73.37,69.42,72.27,2507.68
2013-03-31,72.27,73.8,72,73.74,1786.14
2013-04-01,73.74,81.79,72,80.77,6116.17
2013-04-02,80.77,92.19,78.6,92.19,5777.47
2013-04-03,92.19,115.45,87.38,102.99,16338.97
2013-04-04,102.99,111.89,92.7,104,7326.79
2013-04-05,104,111,101.53,108.5,5617.03
2013-04-06,108.5,113.47,106.86,111.97,4214.39
2013-04-07,111.97,128.5,110.7,127.16,7721.18
2013-04-08,127.16,149.98,127.16,143.63,8264.79
2013-04-09,143.63,186.21,142.45,180.1,11842.04
2013-04-10,180.1,203,82,127.01,29448.91
2013-04-11,127.01,146.78,85,92,16605.72
2013-04-12,92,109.37,40.9,88,67489.48
2013-04-13,88,99.91,67,71,25398.96
2013-04-14,71,83.2,66.02,67.4,13182.07
2013-04-15,67.4,79.8,53.5,63,22697.7
2013-04-16,63,65.02,37.3,51.1,52773.19
2013-04-17,51.1,74.5,49,71.5,30328.15
2013-04-18,71.5,85,67.18,82.5,14916.26
2013-04-19,82.5,102.27,79.68,91.51,23153.23
2013-04-20,91.51,99.5,87.7,98.15,4412.34
2013-04-21,98.15,99.9,82,92,11122.47
2013-04-22,92,96.52,90.23,95,3519.71
2013-04-23,95,110.26,94,109.68,12026.78
2013-04-24,109.68,125.9,107.92,119,19255.41
2013-04-25,119,125,91.34,108.8,15877.55
2013-04-26,108.8,110.57,93.13,105,8151.76
2013-04-27,105,107.48,96.99,100.7,3183.93
2013-04-28,100.7,106,99.02,104,1755.65
2013-04-29,104,112,102.04,109,3874.6
2013-04-30,109,112,104.05,105.55,4324.98
2013-05-01,105.55,107,81.11,90,20324.22
2013-05-02,90,98,70,81.18,20107.52
2013-05-03,81.18,83.57,60.23,75,19242.89
2013-05-04,75,88.99,71.57,84.49,9014.67
2013-05-05,84.49,92.71,80.16,88.33,9058.51
2013-05-06,88.33,94.33,80,85.04,7918.11
2013-05-07,85.04,87,75.91,85,9026.79
2013-05-08,85,89.39,82.03,85,11684.41
2013-05-09,85,86.95,83.76,85.3,2891.95
2013-05-10,85.3,92,85.17,88.11,6310.32
2013-05-11,88.11,90.72,88,90,1407.9
2013-05-12,90,90.5,88.1,89.8,1226.35
2013-05-13,89.8,91.49,88.7,90.09,2359.65
2013-05-14,90.09,93,85,86.01,8823.94
2013-05-15,86.01,90,80.1,87.95,8708.73
2013-05-16,87.95,91.13,86.3,91.11,5325.13
2013-05-17,91.11,98.02,89,93.1,11189.82
2013-05-18,93.1,95,93.01,93.65,3168.05
2013-05-19,93.65,94.95,91.86,93.9,1257.59
2013-05-20,93.9,95,92.5,92.5,2465.22
2013-05-21,92.5,94.66,92.5,93.28,2461.17
2013-05-22,93.28,94.97,92.8,94.41,2234.68
2013-05-23,94.41,96,93.8,96,3362.22
2013-05-24,96,104,95.21,102,9241.96
2013-05-25,102,102.98,99.73,101,1850.85
2013-05-26,101,103.3,100.55,102.29,1566.96
2013-05-27,102.29,105,96.11,101.5,7516.96
2013-05-28,101.5,102.1,98.15,99.8,2541.96
2013-05-29,99.8,102.1,98.3,102,3151.64
2013-05-30,102,102.32,99.6,99.6,2620.92
2013-05-31,99.6,101.95,99,99.57,1832.39
2013-06-01,99.57,100,98.5,100,999.96
2013-06-02,100,100.28,90.05,95.49,9214.93
2013-06-03,95.49,95.4,90,94,6781.81
2013-06-04,94,97.68,93.03,95,4484.06
